Date,No_of_Accidents,Tithi,Nakshtra,Karna,Yoga,Ayanamsa,Rashi
07-05-2017,672,Dvadasi,Uttara,Bawa,Harshana,"24 5'50""",Kanya
12-08-2017,672,Panchami,Uttara-Bhadra,Kaulava,Dhrithi,"24 6'5""",Meena
04-02-2017,669,Ashtami,Bharani,Vishti,Sukla,"24 5'41""",Mesha
03-12-2016,667,Chavithi,Purva-Shada,Vanija,Ganda,"24 5'32""",Dhanu
28-10-2017,665,Ashtami,Uttara-Shaada,Vishti,Soola,"24 6'12""",Makara
16-06-2016,664,Ekadasi,Swati,Vishti,Parigha,"24 5'11""",Tula
16-09-2017,662,Ekadasi,Punarwasu,Bawa,Parigha,"24 6'8""",Karkataka
15-10-2017,661,Dasami,Aslesha,Vishti,Subha,"24 6'11""",Karkataka
03-09-2017,660,Dvadasi,Uttara-Shaada,Balava,Saubhagya,"24 6'7""",Makara
28-01-2018,656,Ekadasi,Rohini,Vishti,Indra,"24 6'26""",Vrushabha
18-02-2017,655,Sapthami,Visakha,Bawa,Dhruva,"24 5'43""",Tula
07-01-2018,655,Shasti,Pubha,Garaja,Saubhagya,"24 6'23""",Simha
25-12-2017,654,Shasti,Purva-Bhadra,Taitula,Siddhi,"24 6'21""",Kumbha
14-01-2017,654,Vidhiya,Aslesha,Taitula,Prithi,"24 5'38""",Karkataka
16-07-2021,654,Shasti,Uttara,Taitula,Parigha,"24 9'16""",Kanya
03-09-2016,653,Vidhiya,Uttara,Balava,Sadhya,"24 5'22""",Kanya
28-03-2016,652,Chaviti,Visakha,Balava,Vajra,"24 5'1""",Vrushchika
30-07-2017,651,Sapthami,Chitta,Vanija,Sadhya,"24 6'3""",Tula
17-12-2017,649,Chaturdasi,Anuradha,Sakuna,Dhrithi,"24 6'19""",Vrushchika
21-08-2016,644,Thadiya,Uttara-Bhadra,Vishti,Dhrithi,"24 5'21""",Meena
26-05-2017,643,Amavasya,Rohini,Nagava,Sukarman,"24 5'53""",Vrushabha
21-01-2018,643,Chavithi,Satabhisham,Vanija,Variyan,"24 6'25""",Kumbha
14-08-2016,642,Ekadasi,Mula,Vanija,Vaidhruthi,"24 5'20""",Dhanu
06-05-2018,641,Shasti,Purva-Shada,Garaja,Sadhya,"24 6'36""",Dhanu
06-08-2017,641,Chaturdasi,Uttara-Shaada,Garaja,Prithi,"24 6'4""",Dhanu
11-09-2016,640,Navami,Mula,Kaulava,Ayushman,"24 5'23""",Dhanu
31-07-2016,639,Dvadasi,Mrugasira,Taitula,Vyaghata,"24 5'18""",Mithuna
26-06-2016,638,Shasti,Satabhisham,Garaja,Prithi,"24 5'13""",Kumbha
31-05-2017,635,Shasti,Aslesha,Taitula,Dhruva,"24 5'54""",Karkataka
