Date,No_of_Accidents,,Tithi,Nakshtra,Karna,Yoga,Ayanamsa,Rashi
15-10-2019,4004,,,,,,,
18-02-2020,3998,,,,,,,
20-11-2021,3996,,,,,,,
26-12-2021,3996,,,,,,,
18-10-2019,3994,,,,,,,
05-11-2018,3993,,,,,,,
15-11-2018,3990,,,,,,,
16-04-2021,3988,,,,,,,
13-01-2020,3986,,,,,,,
27-08-2019,3985,,,,,,,
29-08-2019,3985,,,,,,,
24-09-2022,3983,,,,,,,
27-05-2021,3981,,,,,,,
12-01-2021,3974,,,,,,,
16-10-2022,3967,,,,,,,
13-09-2019,3964,,,,,,,
04-05-2021,3960,,,,,,,
13-08-2022,3952,,,,,,,
13-11-2021,3951,,,,,,,
24-04-2022,3945,,,,,,,
28-05-2020,3944,,,,,,,
03-12-2019,3942,,,,,,,
10-06-2020,3942,,,,,,,
04-06-2020,3935,,,,,,,
12-09-2019,3931,,,,,,,
10-08-2021,3929,,,,,,,
08-06-2020,3928,,,,,,,
17-09-2019,3925,,,,,,,
04-11-2019,3922,,,,,,,
05-09-2022,3921,,,,,,,
23-01-2020,3917,,,,,,,
10-03-2020,3911,,,,,,,
17-09-2022,3902,,,,,,,
18-06-2022,3894,,,,,,,
24-09-2019,3883,,,,,,,
25-10-2020,3880,,,,,,,
27-12-2020,3875,,,,,,,
28-05-2022,3868,,,,,,,
28-11-2020,3867,,,,,,,
11-09-2019,3860,,,,,,,
20-09-2019,3856,,,,,,,
12-02-2019,3851,,,,,,,
05-12-2019,3848,,,,,,,
06-08-2022,3843,,,,,,,
20-07-2021,3832,,,,,,,
30-07-2022,3832,,,,,,,
26-11-2021,3831,,,,,,,
20-11-2018,3829,,,,,,,
01-10-2022,3809,,,,,,,
26-12-2020,3807,,,,,,,
28-10-2019,3807,,,,,,,
24-10-2020,3807,,,,,,,
05-02-2020,3806,,,,,,,
05-09-2019,3806,,,,,,,
18-10-2018,3805,,,,,,,
06-03-2022,3802,,,,,,,
13-04-2020,3800,,,,,,,
16-12-2019,3799,,,,,,,
01-10-2020,3798,,,,,,,
26-05-2020,3797,,,,,,,
09-10-2019,3794,,,,,,,
15-01-2020,3786,,,,,,,
19-10-2018,3783,,,,,,,
07-11-2018,3782,,,,,,,
22-11-2020,3775,,,,,,,
19-05-2021,3773,,,,,,,
30-10-2018,3771,,,,,,,
28-08-2019,3763,,,,,,,
15-01-2022,3762,,,,,,,
08-01-2018,3761,,,,,,,
18-12-2022,3758,,,,,,,
10-02-2020,3757,,,,,,,
25-09-2019,3753,,,,,,,
16-11-2018,3749,,,,,,,
27-09-2019,3748,,,,,,,
09-01-2018,3747,,,,,,,
02-11-2018,3746,,,,,,,
11-02-2020,3743,,,,,,,
02-04-2021,3739,,,,,,,
27-11-2020,3731,,,,,,,
08-04-2021,3728,,,,,,,
26-10-2018,3728,,,,,,,
21-05-2020,3725,,,,,,,
15-09-2017,3724,,,,,,,
04-10-2018,3719,,,,,,,
22-09-2020,3713,,,,,,,
12-02-2020,3713,,,,,,,
02-10-2019,3711,,,,,,,
15-05-2022,3711,,,,,,,
21-01-2020,3705,,,,,,,
07-10-2019,3705,,,,,,,
24-01-2019,3705,,,,,,,
22-01-2020,3701,,,,,,,
30-10-2021,3701,,,,,,,
01-10-2019,3700,,,,,,,
16-09-2019,3699,,,,,,,
04-12-2022,3697,,,,,,,
23-07-2022,3697,,,,,,,
09-02-2018,3697,,,,,,,
09-09-2019,3696,,,,,,,
22-01-2022,3693,,,,,,,
11-05-2020,3692,,,,,,,
03-06-2020,3691,,,,,,,
06-09-2019,3690,,,,,,,
06-11-2022,3688,,,,,,,
20-03-2022,3685,,,,,,,
31-10-2018,3684,,,,,,,
21-09-2020,3682,,,,,,,
20-05-2020,3676,,,,,,,
20-12-2017,3674,,,,,,,
16-10-2018,3671,,,,,,,
10-09-2019,3668,,,,,,,
10-04-2020,3666,,,,,,,
07-04-2020,3665,,,,,,,
29-10-2018,3658,,,,,,,
11-11-2019,3650,,,,,,,
29-09-2017,3650,,,,,,,
09-10-2020,3648,,,,,,,
23-09-2019,3646,,,,,,,
10-03-2021,3644,,,,,,,
09-07-2022,3641,,,,,,,
01-02-2019,3638,,,,,,,
08-12-2017,3637,,,,,,,
21-11-2017,3632,,,,,,,
08-11-2018,3630,,,,,,,
19-05-2020,3623,,,,,,,
19-12-2017,3622,,,,,,,
17-10-2018,3618,,,,,,,
13-12-2017,3614,,,,,,,
14-12-2017,3613,,,,,,,
08-09-2017,3610,,,,,,,
03-10-2018,3608,,,,,,,
14-11-2018,3608,,,,,,,
16-01-2019,3603,,,,,,,
23-08-2017,3601,,,,,,,
10-04-2022,3598,,,,,,,
